Rule_no,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,Overall
Rule: 100,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 101,Non,Non,Non,Non,Non,Reversible,Non,Non,Non,Non
Rule: 102,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 103,Non,Reversible,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 104,Reversible,Non,Non,Non,Non,Non,Reversible,Non,Non,Non
Rule: 105,Non,Reversible,Non,Non,Non,Non,Non,Reversible,Non,Non
Rule: 106,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 107,Non,Reversible,Reversible,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 108,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 109,Reversible,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 110,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 111,Non,Non,Reversible,Reversible,Non,Non,Reversible,Reversible,Non,Non
Rule: 112,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 113,Reversible,Non,Reversible,Non,Non,Non,Non,Reversible,Non,Non
Rule: 114,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 115,Non,Reversible,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 116,Non,Non,Non,Reversible,Non,Non,Non,Non,Non,Non
Rule: 117,Reversible,Reversible,Reversible,Non,Non,Non,Reversible,Non,Reversible,Reversible
Rule: 118,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 119,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Reversible,Non
Rule: 120,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 121,Non,Non,Non,Non,Reversible,Non,Non,Non,Reversible,Non
Rule: 122,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 123,Reversible,Reversible,Reversible,Non,Non,Non,Non,Reversible,Reversible,Reversible
Rule: 124,Reversible,Non,Reversible,Reversible,Non,Non,Non,Non,Non,Non
Rule: 125,Reversible,Non,Reversible,Non,Reversible,Reversible,Non,Reversible,Reversible,Reversible
Rule: 126,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 127,Reversible,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 128,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 129,Non,Non,Non,Non,Reversible,Non,Non,Non,Reversible,Non
Rule: 130,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 131,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Reversible,Non
Rule: 132,Reversible,Non,Reversible,Non,Reversible,Non,Non,Non,Non,Non
Rule: 133,Non,Non,Non,Non,Non,Non,Reversible,Non,Reversible,Non
Rule: 134,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 135,Non,Non,Non,Non,Non,Non,Reversible,Non,Non,Non
Rule: 136,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 137,Non,Non,Non,Non,Non,Reversible,Non,Reversible,Non,Non
Rule: 138,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 139,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 140,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 141,Non,Non,Non,Non,Reversible,Non,Non,Non,Reversible,Non
Rule: 142,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 143,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 144,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 145,Non,Non,Reversible,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 146,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 147,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 148,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 149,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Reversible,Non
Rule: 150,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 151,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 152,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 153,Non,Non,Non,Non,Non,Non,Non,Reversible,Non,Non
Rule: 154,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 155,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 156,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 157,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 158,Reversible,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 159,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 160,Non,Non,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 161,Non,Non,Non,Non,Non,Reversible,Reversible,Non,Reversible,Non
Rule: 162,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 163,Non,Non,Non,Non,Non,Reversible,Reversible,Non,Reversible,Non
Rule: 164,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 165,Non,Non,Non,Non,Non,Reversible,Non,Reversible,Non,Non
Rule: 166,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 167,Non,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 168,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 169,Non,Non,Non,Non,Non,Reversible,Reversible,Reversible,Reversible,Non
Rule: 170,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 171,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 172,Non,Non,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 173,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 174,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 175,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Reversible,Non
Rule: 176,Reversible,Non,Non,Non,Non,Reversible,Non,Non,Non,Non
Rule: 177,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 178,Reversible,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non
Rule: 179,Non,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 180,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 181,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Reversible,Non
Rule: 182,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 183,Non,Non,Non,Non,Non,Non,Non,Reversible,Non,Non
Rule: 184,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 185,Non,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 186,Reversible,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 187,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 188,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 189,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non,Non
Rule: 190,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 191,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 192,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 193,Non,Non,Non,Non,Reversible,Non,Non,Non,Non,Non
Rule: 194,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 195,Non,Non,Non,Non,Non,Non,Reversible,Non,Reversible,Non
Rule: 196,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 197,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 198,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 199,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 200,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 201,Non,Non,Non,Reversible,Non,Non,Non,Reversible,Reversible,Non
Rule: 202,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 203,Non,Non,Non,Non,Non,Reversible,Non,Reversible,Reversible,Non
Rule: 204,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 205,Non,Non,Non,Non,Reversible,Non,Reversible,Reversible,Reversible,Non
Rule: 206,Reversible,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non
Rule: 207,Non,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 208,Non,Reversible,Non,Non,Non,Reversible,Non,Non,Non,Non
Rule: 209,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Reversible,Non
Rule: 210,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 211,Non,Non,Non,Reversible,Non,Non,Non,Non,Reversible,Non
Rule: 212,Reversible,Non,Non,Non,Non,Non,Reversible,Non,Non,Non
Rule: 213,Non,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 214,Reversible,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 215,Non,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 216,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 217,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 218,Reversible,Reversible,Non,Non,Non,Reversible,Non,Non,Non,Non
Rule: 219,Non,Non,Non,Non,Non,Reversible,Non,Reversible,Non,Non
Rule: 220,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 221,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 222,Non,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 223,Non,Non,Non,Reversible,Non,Non,Reversible,Non,Reversible,Non
Rule: 224,Reversible,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non
Rule: 225,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 226,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 227,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non,Non
Rule: 228,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 229,Non,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 230,Reversible,Non,Non,Non,Non,Non,Non,Non,Reversible,Non
Rule: 231,Non,Non,Non,Non,Non,Non,Reversible,Non,Reversible,Non
Rule: 232,Non,Non,Non,Non,Reversible,Non,Non,Non,Non,Non
Rule: 233,Non,Non,Non,Non,Non,Non,Non,Reversible,Non,Non
Rule: 234,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 235,Non,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Non
Rule: 236,Reversible,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 237,Non,Non,Non,Non,Non,Non,Reversible,Reversible,Reversible,Non
Rule: 238,Reversible,Reversible,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 239,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Rule: 240,Reversible,Non,Reversible,Non,Non,Non,Non,Non,Non,Non
Rule: 241,Non,Non,Non,Non,Reversible,Reversible,Non,Non,Reversible,Non
